,source,target,value
0,Arya Stark,Syrio Forel,117
2,Sansa Stark,Septa Mordane,83
3,Arya Stark,Septa Mordane,25
6,Eddard Stark,Syrio Forel,14
7,Meryn Trant,Syrio Forel,11
8,Arya Stark,Sansa Stark,88
9,Sandor Clegane,Sansa Stark,31
11,Arya Stark,Eddard Stark,134
12,Eddard Stark,Varys,132
13,Eddard Stark,Sansa Stark,62
14,Joffrey Baratheon,Sansa Stark,126
15,Joffrey Baratheon,Varys,21
17,Cersei Lannister,Eddard Stark,107
18,Eddard Stark,Joffrey Baratheon,29
20,Eddard Stark,Robert Baratheon,295
25,Benjen Stark,Jon Snow,35
26,Jeor Mormont,Jon Snow,92
27,Jeor Mormont,Samwell Tarly,14
29,Jon Snow,Samwell Tarly,156
31,Jeor Mormont,Maester Aemon,11
35,Jon Snow,Maester Aemon,52
37,Joffrey Baratheon,Robert Baratheon,30
40,Cersei Lannister,Sansa Stark,39
41,Petyr Baelish,Sansa Stark,14
42,Petyr Baelish,Varys,121
43,Grand Maester Pycelle,Varys,14
45,Grand Maester Pycelle,Sansa Stark,21
46,Cersei Lannister,Joffrey Baratheon,71
47,Catelyn Stark,Petyr Baelish,46
48,Catelyn Stark,Cersei Lannister,20
50,Robb Stark,Sansa Stark,17
52,Maester Luwin,Robb Stark,21
56,Grey Worm,Theon Greyjoy,213
57,Grey Worm,Robb Stark,31
58,Robb Stark,Theon Greyjoy,67
60,Catelyn Stark,Lysa Arryn,35
62,Catelyn Stark,Eddard Stark,37
63,Lysa Arryn,Robin Arryn,40
64,Catelyn Stark,Robin Arryn,11
65,Lysa Arryn,Tyrion Lannister,49
66,Bronn,Tyrion Lannister,178
67,Tyrion Lannister,Tywin Lannister,93
68,Jon Snow,Tyrion Lannister,64
69,Alliser Thorne,Jon Snow,45
71,Alliser Thorne,Grenn,15
74,Alliser Thorne,Samwell Tarly,27
78,Jorah Mormont,Rakharo,45
79,Jorah Mormont,Khal Drogo,53
80,Khal Drogo,Qotho,18
81,Khal Drogo,Mirri Maz Duur,14
82,Mirri Maz Duur,Qotho,26
84,Greatjon Umber,Robb Stark,50
86,Bran Stark,Robb Stark,81
87,Bran Stark,Maester Luwin,101
89,Bran Stark,Rickon Stark,26
90,Bran Stark,Osha,55
92,Bran Stark,Theon Greyjoy,32
93,Osha,Theon Greyjoy,27
94,Bran Stark,Hodor,20
98,Maester Aemon,Samwell Tarly,11
101,Catelyn Stark,Robb Stark,145
103,Catelyn Stark,Rodrik Cassel,14
104,Jaime Lannister,Robb Stark,17
105,Robb Stark,Tywin Lannister,11
107,Catelyn Stark,Greatjon Umber,15
110,Eddard Stark,Tywin Lannister,22
118,Catelyn Stark,Tywin Lannister,11
119,Catelyn Stark,Tyrion Lannister,75
120,Kevan Lannister,Tywin Lannister,20
121,Kevan Lannister,Tyrion Lannister,17
124,Jaime Lannister,Tywin Lannister,48
125,Jaime Lannister,Tyrion Lannister,36
126,Catelyn Stark,Jaime Lannister,57
129,Eddard Stark,Tyrion Lannister,24
133,Joffrey Baratheon,Tyrion Lannister,28
140,Eddard Stark,Grand Maester Pycelle,89
143,Barristan Selmy,Cersei Lannister,28
146,Cersei Lannister,Jaime Lannister,54
150,Robert Baratheon,Sansa Stark,12
152,Renly Baratheon,Stannis Baratheon,30
154,Bran Stark,Grey Worm,13
157,Robb Stark,Tyrion Lannister,23
158,Maester Luwin,Tyrion Lannister,14
159,Bran Stark,Tyrion Lannister,35
160,Theon Greyjoy,Tyrion Lannister,17
161,Grey Worm,Ros,38
163,Grey Worm,Tyrion Lannister,18
165,Black Lorren,Jon Snow,21
166,Grenn,Jon Snow,43
169,Grenn,Samwell Tarly,22
171,Daenerys Targaryen,Jorah Mormont,217
172,Jorah Mormont,Viserys Targaryen,81
173,Daenerys Targaryen,Viserys Targaryen,86
174,Khal Drogo,Viserys Targaryen,68
175,Daenerys Targaryen,Khal Drogo,134
176,Daenerys Targaryen,Robert Baratheon,17
178,Daenerys Targaryen,Eddard Stark,12
179,Eddard Stark,Jorah Mormont,11
180,Doreah,Viserys Targaryen,56
183,Eddard Stark,Janos Slynt,17
187,Eddard Stark,Petyr Baelish,150
188,Eddard Stark,Jon Snow,55
189,Grand Maester Pycelle,Jon Snow,11
193,Bran Stark,Eddard Stark,12
194,Arya Stark,Jon Snow,31
195,Jon Snow,Petyr Baelish,17
197,Eddard Stark,Septa Mordane,12
199,Eddard Stark,Jory Cassel,84
200,Eddard Stark,Gendry,24
201,Jaime Lannister,Robert Baratheon,25
202,Jaime Lannister,Jory Cassel,48
210,Jon Snow,Rast,11
213,Daenerys Targaryen,Doreah,41
214,Daenerys Targaryen,Irri,43
220,Joffrey Baratheon,Petyr Baelish,11
223,Petyr Baelish,Robert Baratheon,13
225,Gregor Clegane,Petyr Baelish,11
230,Tyrion Lannister,Yoren,42
233,Catelyn Stark,Jon Snow,15
238,Arya Stark,Yoren,23
247,Catelyn Stark,Maester Luwin,16
248,Joffrey Baratheon,Marillion,30
266,Bran Stark,Catelyn Stark,29
270,Cersei Lannister,Tyrion Lannister,16
279,Jorah Mormont,Mirri Maz Duur,12
280,Daenerys Targaryen,Mirri Maz Duur,73
284,Shae,Tyrion Lannister,133
288,Grand Maester Pycelle,Robert Baratheon,13
290,Grand Maester Pycelle,Ros,18
291,Grand Maester Pycelle,Petyr Baelish,12
292,Arya Stark,Joffrey Baratheon,44
293,Arya Stark,Hot Pie,14
294,Hot Pie,Lommy Greenhands,19
309,Cersei Lannister,Robert Baratheon,116
310,Jaime Lannister,Jon Snow,18
315,Bran Stark,Jon Snow,25
318,Jon Snow,Robb Stark,24
319,Benjen Stark,Eddard Stark,11
323,Benjen Stark,Tyrion Lannister,24
328,Grey Worm,Maester Luwin,12
338,Eddard Stark,Jaime Lannister,78
340,Eddard Stark,Gregor Clegane,16
344,Petyr Baelish,Ros,36
345,Ros,Theon Greyjoy,56
346,Grey Worm,Osha,20
347,Maester Luwin,Osha,18
349,Eddard Stark,Renly Baratheon,39
350,Renly Baratheon,Robert Baratheon,42
356,Barristan Selmy,Eddard Stark,48
357,Daenerys Targaryen,Rakharo,20
364,Eddard Stark,Stannis Baratheon,23
374,Loras Tyrell,Renly Baratheon,85
377,Barristan Selmy,Robert Baratheon,32
379,Lancel Lannister,Robert Baratheon,26
382,Loras Tyrell,Sansa Stark,12
384,Petyr Baelish,Renly Baratheon,26
385,Gregor Clegane,Loras Tyrell,11
390,Rodrik Cassel,Tyrion Lannister,13
396,Arya Stark,Varys,11
399,Arya Stark,Jory Cassel,18
400,Eddard Stark,Yoren,22
401,Benjen Stark,Yoren,13
407,Robin Arryn,Tyrion Lannister,14
424,Catelyn Stark,Varys,13
428,Jeor Mormont,Tyrion Lannister,13
437,Irri,Rakharo,22
441,Irri,Jorah Mormont,12
443,Maester Aemon,Tyrion Lannister,12
483,Daenerys Targaryen,Qotho,29
491,Bronn,Shae,21
